image_path,label
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\5631.png,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8410.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7876.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8144.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8676.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\7014.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4429.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8832.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\10288.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8235.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\6567.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8250.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\10383.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\2688.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8763.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\1223.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\3872.png,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\10166.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\5175.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\2622.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8241.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7675.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8335.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\2986.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\3974.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8352.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7857.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\6172.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\638.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9643.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\86.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\1651.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8452.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\867.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9777.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4514.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9450.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\6796.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9448.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7859.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\10344.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7885.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\6081.png,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\868.jpeg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\5636.png,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4395.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9754.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\792.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4.jpeg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7903.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\10326.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\3420.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\2437.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\1403.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\470.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7967.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9620.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\6285.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4065.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8251.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7310.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9510.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\10274.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4322.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4925.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8972.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\2216.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8855.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\6787.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\5710.png,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\1041.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4164.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\2304.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\8350.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\10410.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9160.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\730.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7662.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7445.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\3459.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\6095.png,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9423.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9618.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9017.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9383.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\3695.png,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\10049.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4618.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\1096.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\7367.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9873.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\1677.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\10224.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4914.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\10506.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\1444.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\real\4676.jpg,real
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9782.jpg,fake
E:\Project\Fake News Detection Data\AdversarialGen\AdversarialGen\images\fake\9856.jpg,fake
