source,normalized,error,label
E:\Project\Fake News Detection\images\real\1183.jpg,images_normalized\real\1183.jpg,,real
E:\Project\Fake News Detection\images\real\1193.jpg,images_normalized\real\1193.jpg,,real
E:\Project\Fake News Detection\images\real\1194.jpg,images_normalized\real\1194.jpg,,real
E:\Project\Fake News Detection\images\real\1199.jpg,images_normalized\real\1199.jpg,,real
E:\Project\Fake News Detection\images\real\1201.jpg,images_normalized\real\1201.jpg,,real
E:\Project\Fake News Detection\images\real\1203.jpg,images_normalized\real\1203.jpg,,real
E:\Project\Fake News Detection\images\real\1204.jpg,images_normalized\real\1204.jpg,,real
E:\Project\Fake News Detection\images\real\1209.jpg,images_normalized\real\1209.jpg,,real
E:\Project\Fake News Detection\images\real\1214.jpg,images_normalized\real\1214.jpg,,real
E:\Project\Fake News Detection\images\real\1221.jpg,images_normalized\real\1221.jpg,,real
E:\Project\Fake News Detection\images\real\1227.jpg,images_normalized\real\1227.jpg,,real
E:\Project\Fake News Detection\images\real\1237.jpg,images_normalized\real\1237.jpg,,real
E:\Project\Fake News Detection\images\real\1239.jpg,images_normalized\real\1239.jpg,,real
E:\Project\Fake News Detection\images\real\1259.jpg,images_normalized\real\1259.jpg,,real
E:\Project\Fake News Detection\images\real\1264.jpg,images_normalized\real\1264.jpg,,real
E:\Project\Fake News Detection\images\real\1285.jpg,images_normalized\real\1285.jpg,,real
E:\Project\Fake News Detection\images\real\129.jpg,images_normalized\real\129.jpg,,real
E:\Project\Fake News Detection\images\real\1293.jpg,images_normalized\real\1293.jpg,,real
E:\Project\Fake News Detection\images\real\13.jpg,images_normalized\real\13.jpg,,real
E:\Project\Fake News Detection\images\real\1301.jpg,images_normalized\real\1301.jpg,,real
E:\Project\Fake News Detection\images\real\1311.jpg,images_normalized\real\1311.jpg,,real
E:\Project\Fake News Detection\images\real\1312.jpg,images_normalized\real\1312.jpg,,real
E:\Project\Fake News Detection\images\real\1321.jpg,images_normalized\real\1321.jpg,,real
E:\Project\Fake News Detection\images\real\1327.jpg,images_normalized\real\1327.jpg,,real
E:\Project\Fake News Detection\images\real\134.jpg,images_normalized\real\134.jpg,,real
E:\Project\Fake News Detection\images\real\1343.jpg,images_normalized\real\1343.jpg,,real
E:\Project\Fake News Detection\images\real\1347.jpg,images_normalized\real\1347.jpg,,real
E:\Project\Fake News Detection\images\real\1349.jpg,images_normalized\real\1349.jpg,,real
E:\Project\Fake News Detection\images\real\1350.jpg,images_normalized\real\1350.jpg,,real
E:\Project\Fake News Detection\images\real\1352.jpg,images_normalized\real\1352.jpg,,real
E:\Project\Fake News Detection\images\real\1372.jpg,images_normalized\real\1372.jpg,,real
E:\Project\Fake News Detection\images\real\1375.jpg,images_normalized\real\1375.jpg,,real
E:\Project\Fake News Detection\images\real\1381.jpg,images_normalized\real\1381.jpg,,real
E:\Project\Fake News Detection\images\real\1387.jpg,images_normalized\real\1387.jpg,,real
E:\Project\Fake News Detection\images\real\139.jpg,images_normalized\real\139.jpg,,real
E:\Project\Fake News Detection\images\real\1402.jpg,images_normalized\real\1402.jpg,,real
E:\Project\Fake News Detection\images\real\1404.jpg,images_normalized\real\1404.jpg,,real
E:\Project\Fake News Detection\images\real\1408.jpg,images_normalized\real\1408.jpg,,real
E:\Project\Fake News Detection\images\real\1415.jpg,images_normalized\real\1415.jpg,,real
E:\Project\Fake News Detection\images\real\1434.jpg,images_normalized\real\1434.jpg,,real
E:\Project\Fake News Detection\images\real\1437.jpg,images_normalized\real\1437.jpg,,real
E:\Project\Fake News Detection\images\real\1445.jpg,images_normalized\real\1445.jpg,,real
E:\Project\Fake News Detection\images\real\1448.jpg,images_normalized\real\1448.jpg,,real
E:\Project\Fake News Detection\images\real\1456.jpg,images_normalized\real\1456.jpg,,real
E:\Project\Fake News Detection\images\real\1459.jpg,images_normalized\real\1459.jpg,,real
E:\Project\Fake News Detection\images\real\1471.jpg,images_normalized\real\1471.jpg,,real
E:\Project\Fake News Detection\images\real\1472.jpg,images_normalized\real\1472.jpg,,real
E:\Project\Fake News Detection\images\real\1475.jpg,images_normalized\real\1475.jpg,,real
E:\Project\Fake News Detection\images\real\1478.jpg,images_normalized\real\1478.jpg,,real
E:\Project\Fake News Detection\images\real\148.jpeg,images_normalized\real\148.jpg,,real
E:\Project\Fake News Detection\images\real\1485.jpg,images_normalized\real\1485.jpg,,real
E:\Project\Fake News Detection\images\real\1488.jpg,images_normalized\real\1488.jpg,,real
E:\Project\Fake News Detection\images\real\149.jpg,images_normalized\real\149.jpg,,real
E:\Project\Fake News Detection\images\real\1493.jpg,images_normalized\real\1493.jpg,,real
E:\Project\Fake News Detection\images\real\1495.jpg,images_normalized\real\1495.jpg,,real
E:\Project\Fake News Detection\images\real\1498.jpg,images_normalized\real\1498.jpg,,real
E:\Project\Fake News Detection\images\real\1514.jpg,images_normalized\real\1514.jpg,,real
E:\Project\Fake News Detection\images\real\1516.jpg,images_normalized\real\1516.jpg,,real
E:\Project\Fake News Detection\images\real\1521.jpg,images_normalized\real\1521.jpg,,real
E:\Project\Fake News Detection\images\real\1536.jpg,images_normalized\real\1536.jpg,,real
E:\Project\Fake News Detection\images\real\1556.jpg,images_normalized\real\1556.jpg,,real
E:\Project\Fake News Detection\images\real\1566.jpg,images_normalized\real\1566.jpg,,real
E:\Project\Fake News Detection\images\real\1569.jpg,images_normalized\real\1569.jpg,,real
E:\Project\Fake News Detection\images\real\1578.jpg,images_normalized\real\1578.jpg,,real
E:\Project\Fake News Detection\images\real\1585.jpg,images_normalized\real\1585.jpg,,real
E:\Project\Fake News Detection\images\real\1586.jpg,images_normalized\real\1586.jpg,,real
E:\Project\Fake News Detection\images\real\160.jpg,images_normalized\real\160.jpg,,real
E:\Project\Fake News Detection\images\real\1604.jpg,images_normalized\real\1604.jpg,,real
E:\Project\Fake News Detection\images\real\1608.jpg,images_normalized\real\1608.jpg,,real
E:\Project\Fake News Detection\images\real\1620.jpg,images_normalized\real\1620.jpg,,real
E:\Project\Fake News Detection\images\real\1622.jpg,images_normalized\real\1622.jpg,,real
E:\Project\Fake News Detection\images\real\1628.jpg,images_normalized\real\1628.jpg,,real
E:\Project\Fake News Detection\images\real\1632.jpg,images_normalized\real\1632.jpg,,real
E:\Project\Fake News Detection\images\real\1634.jpg,images_normalized\real\1634.jpg,,real
E:\Project\Fake News Detection\images\real\1640.jpg,images_normalized\real\1640.jpg,,real
E:\Project\Fake News Detection\images\real\1642.jpg,images_normalized\real\1642.jpg,,real
E:\Project\Fake News Detection\images\real\1666.jpg,images_normalized\real\1666.jpg,,real
E:\Project\Fake News Detection\images\real\167.jpg,images_normalized\real\167.jpg,,real
E:\Project\Fake News Detection\images\real\1678.jpg,images_normalized\real\1678.jpg,,real
E:\Project\Fake News Detection\images\real\1679.jpg,images_normalized\real\1679.jpg,,real
E:\Project\Fake News Detection\images\real\168.jpeg,images_normalized\real\168.jpg,,real
E:\Project\Fake News Detection\images\real\1688.jpg,images_normalized\real\1688.jpg,,real
E:\Project\Fake News Detection\images\real\169.jpg,images_normalized\real\169.jpg,,real
E:\Project\Fake News Detection\images\real\1693.jpg,images_normalized\real\1693.jpg,,real
E:\Project\Fake News Detection\images\real\1697.jpg,images_normalized\real\1697.jpg,,real
E:\Project\Fake News Detection\images\real\1701.jpg,images_normalized\real\1701.jpg,,real
E:\Project\Fake News Detection\images\real\1706.jpg,images_normalized\real\1706.jpg,,real
E:\Project\Fake News Detection\images\real\1715.jpg,images_normalized\real\1715.jpg,,real
E:\Project\Fake News Detection\images\real\1727.jpg,images_normalized\real\1727.jpg,,real
E:\Project\Fake News Detection\images\real\173.jpg,images_normalized\real\173.jpg,,real
E:\Project\Fake News Detection\images\real\1731.jpg,images_normalized\real\1731.jpg,,real
E:\Project\Fake News Detection\images\real\1745.jpg,images_normalized\real\1745.jpg,,real
E:\Project\Fake News Detection\images\real\1749.jpg,images_normalized\real\1749.jpg,,real
E:\Project\Fake News Detection\images\real\1767.jpg,images_normalized\real\1767.jpg,,real
E:\Project\Fake News Detection\images\real\1787.jpg,images_normalized\real\1787.jpg,,real
E:\Project\Fake News Detection\images\real\180.jpg,images_normalized\real\180.jpg,,real
E:\Project\Fake News Detection\images\real\1800.jpg,images_normalized\real\1800.jpg,,real
E:\Project\Fake News Detection\images\real\1806.jpg,images_normalized\real\1806.jpg,,real
E:\Project\Fake News Detection\images\real\1807.jpg,images_normalized\real\1807.jpg,,real
E:\Project\Fake News Detection\images\real\1810.jpg,images_normalized\real\1810.jpg,,real
E:\Project\Fake News Detection\images\real\1817.jpg,images_normalized\real\1817.jpg,,real
E:\Project\Fake News Detection\images\real\1818.jpg,images_normalized\real\1818.jpg,,real
E:\Project\Fake News Detection\images\real\1824.jpg,images_normalized\real\1824.jpg,,real
E:\Project\Fake News Detection\images\real\1825.jpg,images_normalized\real\1825.jpg,,real
E:\Project\Fake News Detection\images\real\1829.jpg,images_normalized\real\1829.jpg,,real
E:\Project\Fake News Detection\images\real\1841.jpg,images_normalized\real\1841.jpg,,real
E:\Project\Fake News Detection\images\real\1848.jpg,images_normalized\real\1848.jpg,,real
E:\Project\Fake News Detection\images\real\1850.jpg,images_normalized\real\1850.jpg,,real
E:\Project\Fake News Detection\images\real\1853.jpg,images_normalized\real\1853.jpg,,real
E:\Project\Fake News Detection\images\real\1857.jpg,images_normalized\real\1857.jpg,,real
E:\Project\Fake News Detection\images\real\1859.jpg,images_normalized\real\1859.jpg,,real
E:\Project\Fake News Detection\images\real\1861.jpg,images_normalized\real\1861.jpg,,real
E:\Project\Fake News Detection\images\real\1872.jpg,images_normalized\real\1872.jpg,,real
E:\Project\Fake News Detection\images\real\1907.jpg,images_normalized\real\1907.jpg,,real
E:\Project\Fake News Detection\images\real\1925.jpg,images_normalized\real\1925.jpg,,real
E:\Project\Fake News Detection\images\real\1930.jpg,images_normalized\real\1930.jpg,,real
E:\Project\Fake News Detection\images\real\1933.jpg,images_normalized\real\1933.jpg,,real
E:\Project\Fake News Detection\images\real\1959.jpg,images_normalized\real\1959.jpg,,real
E:\Project\Fake News Detection\images\real\1965.jpg,images_normalized\real\1965.jpg,,real
E:\Project\Fake News Detection\images\real\1979.jpg,images_normalized\real\1979.jpg,,real
E:\Project\Fake News Detection\images\real\1986.jpg,images_normalized\real\1986.jpg,,real
E:\Project\Fake News Detection\images\real\1988.jpg,images_normalized\real\1988.jpg,,real
E:\Project\Fake News Detection\images\real\1989.jpg,images_normalized\real\1989.jpg,,real
E:\Project\Fake News Detection\images\real\1990.jpg,images_normalized\real\1990.jpg,,real
E:\Project\Fake News Detection\images\real\2001.jpg,images_normalized\real\2001.jpg,,real
E:\Project\Fake News Detection\images\real\2014.jpg,images_normalized\real\2014.jpg,,real
E:\Project\Fake News Detection\images\real\2023.jpg,images_normalized\real\2023.jpg,,real
E:\Project\Fake News Detection\images\real\2025.jpg,images_normalized\real\2025.jpg,,real
E:\Project\Fake News Detection\images\real\203.jpg,images_normalized\real\203.jpg,,real
E:\Project\Fake News Detection\images\real\2031.jpg,images_normalized\real\2031.jpg,,real
E:\Project\Fake News Detection\images\real\2034.jpg,images_normalized\real\2034.jpg,,real
E:\Project\Fake News Detection\images\real\2043.jpg,images_normalized\real\2043.jpg,,real
E:\Project\Fake News Detection\images\real\2047.jpg,images_normalized\real\2047.jpg,,real
E:\Project\Fake News Detection\images\real\2053.jpg,images_normalized\real\2053.jpg,,real
E:\Project\Fake News Detection\images\real\206.jpg,images_normalized\real\206.jpg,,real
E:\Project\Fake News Detection\images\real\2067.jpg,images_normalized\real\2067.jpg,,real
E:\Project\Fake News Detection\images\real\2098.jpg,images_normalized\real\2098.jpg,,real
E:\Project\Fake News Detection\images\real\210.jpeg,images_normalized\real\210.jpg,,real
E:\Project\Fake News Detection\images\real\2106.jpeg,images_normalized\real\2106.jpg,,real
E:\Project\Fake News Detection\images\real\2110.jpg,images_normalized\real\2110.jpg,,real
E:\Project\Fake News Detection\images\real\2118.jpg,images_normalized\real\2118.jpg,,real
E:\Project\Fake News Detection\images\real\2140.jpg,images_normalized\real\2140.jpg,,real
E:\Project\Fake News Detection\images\real\2147.jpg,images_normalized\real\2147.jpg,,real
E:\Project\Fake News Detection\images\real\2149.jpg,images_normalized\real\2149.jpg,,real
E:\Project\Fake News Detection\images\real\215.jpg,images_normalized\real\215.jpg,,real
E:\Project\Fake News Detection\images\real\2161.jpg,images_normalized\real\2161.jpg,,real
E:\Project\Fake News Detection\images\real\2163.jpg,images_normalized\real\2163.jpg,,real
E:\Project\Fake News Detection\images\real\2166.jpg,images_normalized\real\2166.jpg,,real
E:\Project\Fake News Detection\images\real\2175.jpg,images_normalized\real\2175.jpg,,real
E:\Project\Fake News Detection\images\real\2178.jpg,images_normalized\real\2178.jpg,,real
E:\Project\Fake News Detection\images\real\218.jpg,images_normalized\real\218.jpg,,real
E:\Project\Fake News Detection\images\real\219.jpeg,images_normalized\real\219.jpg,,real
E:\Project\Fake News Detection\images\real\2190.jpg,images_normalized\real\2190.jpg,,real
E:\Project\Fake News Detection\images\real\2197.jpg,images_normalized\real\2197.jpg,,real
E:\Project\Fake News Detection\images\real\2200.jpg,images_normalized\real\2200.jpg,,real
E:\Project\Fake News Detection\images\real\2202.jpg,images_normalized\real\2202.jpg,,real
E:\Project\Fake News Detection\images\real\2212.jpg,images_normalized\real\2212.jpg,,real
E:\Project\Fake News Detection\images\real\2215.jpg,images_normalized\real\2215.jpg,,real
E:\Project\Fake News Detection\images\real\2231.jpg,images_normalized\real\2231.jpg,,real
E:\Project\Fake News Detection\images\real\2240.jpg,images_normalized\real\2240.jpg,,real
E:\Project\Fake News Detection\images\real\2256.jpg,images_normalized\real\2256.jpg,,real
E:\Project\Fake News Detection\images\real\2261.jpg,images_normalized\real\2261.jpg,,real
E:\Project\Fake News Detection\images\real\2269.jpg,images_normalized\real\2269.jpg,,real
E:\Project\Fake News Detection\images\real\2278.jpg,images_normalized\real\2278.jpg,,real
E:\Project\Fake News Detection\images\real\2283.jpg,images_normalized\real\2283.jpg,,real
E:\Project\Fake News Detection\images\real\229.jpg,images_normalized\real\229.jpg,,real
E:\Project\Fake News Detection\images\real\2293.jpg,images_normalized\real\2293.jpg,,real
E:\Project\Fake News Detection\images\real\2319.jpg,images_normalized\real\2319.jpg,,real
E:\Project\Fake News Detection\images\real\2324.jpg,images_normalized\real\2324.jpg,,real
E:\Project\Fake News Detection\images\real\233.jpg,images_normalized\real\233.jpg,,real
E:\Project\Fake News Detection\images\real\2331.jpg,images_normalized\real\2331.jpg,,real
E:\Project\Fake News Detection\images\real\2332.jpg,images_normalized\real\2332.jpg,,real
E:\Project\Fake News Detection\images\real\2333.jpg,images_normalized\real\2333.jpg,,real
E:\Project\Fake News Detection\images\real\2344.jpg,images_normalized\real\2344.jpg,,real
E:\Project\Fake News Detection\images\real\2347.jpg,images_normalized\real\2347.jpg,,real
E:\Project\Fake News Detection\images\real\2350.jpg,images_normalized\real\2350.jpg,,real
E:\Project\Fake News Detection\images\real\2365.jpg,images_normalized\real\2365.jpg,,real
E:\Project\Fake News Detection\images\real\2366.jpg,images_normalized\real\2366.jpg,,real
E:\Project\Fake News Detection\images\real\2367.jpg,images_normalized\real\2367.jpg,,real
E:\Project\Fake News Detection\images\real\2369.jpg,images_normalized\real\2369.jpg,,real
E:\Project\Fake News Detection\images\real\2374.jpg,images_normalized\real\2374.jpg,,real
E:\Project\Fake News Detection\images\real\238.jpg,images_normalized\real\238.jpg,,real
E:\Project\Fake News Detection\images\real\2393.jpg,images_normalized\real\2393.jpg,,real
E:\Project\Fake News Detection\images\real\240.jpeg,images_normalized\real\240.jpg,,real
E:\Project\Fake News Detection\images\real\2402.jpg,images_normalized\real\2402.jpg,,real
E:\Project\Fake News Detection\images\real\2408.jpg,images_normalized\real\2408.jpg,,real
E:\Project\Fake News Detection\images\real\2411.jpg,images_normalized\real\2411.jpg,,real
E:\Project\Fake News Detection\images\real\2415.jpg,images_normalized\real\2415.jpg,,real
E:\Project\Fake News Detection\images\real\2416.jpg,images_normalized\real\2416.jpg,,real
E:\Project\Fake News Detection\images\real\2417.jpg,images_normalized\real\2417.jpg,,real
E:\Project\Fake News Detection\images\real\2426.jpg,images_normalized\real\2426.jpg,,real
E:\Project\Fake News Detection\images\real\243.jpeg,images_normalized\real\243.jpg,,real
E:\Project\Fake News Detection\images\real\2448.jpg,images_normalized\real\2448.jpg,,real
E:\Project\Fake News Detection\images\real\2449.jpg,images_normalized\real\2449.jpg,,real
E:\Project\Fake News Detection\images\real\2463.jpg,images_normalized\real\2463.jpg,,real
E:\Project\Fake News Detection\images\real\2464.jpg,images_normalized\real\2464.jpg,,real
E:\Project\Fake News Detection\images\real\247.jpg,images_normalized\real\247.jpg,,real
E:\Project\Fake News Detection\images\real\2476.jpg,images_normalized\real\2476.jpg,,real
E:\Project\Fake News Detection\images\real\2479.jpg,images_normalized\real\2479.jpg,,real
E:\Project\Fake News Detection\images\real\2486.jpg,images_normalized\real\2486.jpg,,real
E:\Project\Fake News Detection\images\real\2487.jpg,images_normalized\real\2487.jpg,,real
E:\Project\Fake News Detection\images\real\2490.jpg,images_normalized\real\2490.jpg,,real
E:\Project\Fake News Detection\images\real\2495.jpg,images_normalized\real\2495.jpg,,real
E:\Project\Fake News Detection\images\real\2497.jpg,images_normalized\real\2497.jpg,,real
E:\Project\Fake News Detection\images\real\2498.jpg,images_normalized\real\2498.jpg,,real
E:\Project\Fake News Detection\images\real\25.jpg,images_normalized\real\25.jpg,,real
E:\Project\Fake News Detection\images\real\2500.jpg,images_normalized\real\2500.jpg,,real
E:\Project\Fake News Detection\images\real\2509.jpg,images_normalized\real\2509.jpg,,real
E:\Project\Fake News Detection\images\real\2526.jpg,images_normalized\real\2526.jpg,,real
E:\Project\Fake News Detection\images\real\253.jpg,images_normalized\real\253.jpg,,real
E:\Project\Fake News Detection\images\real\2531.jpg,images_normalized\real\2531.jpg,,real
E:\Project\Fake News Detection\images\real\2533.jpg,images_normalized\real\2533.jpg,,real
E:\Project\Fake News Detection\images\real\2538.jpg,images_normalized\real\2538.jpg,,real
E:\Project\Fake News Detection\images\real\2540.jpg,images_normalized\real\2540.jpg,,real
E:\Project\Fake News Detection\images\real\2558.jpg,images_normalized\real\2558.jpg,,real
E:\Project\Fake News Detection\images\real\2563.jpg,images_normalized\real\2563.jpg,,real
E:\Project\Fake News Detection\images\real\2580.jpg,images_normalized\real\2580.jpg,,real
E:\Project\Fake News Detection\images\real\2581.jpg,images_normalized\real\2581.jpg,,real
E:\Project\Fake News Detection\images\real\2585.jpg,images_normalized\real\2585.jpg,,real
E:\Project\Fake News Detection\images\real\2587.jpg,images_normalized\real\2587.jpg,,real
E:\Project\Fake News Detection\images\real\2588.jpg,images_normalized\real\2588.jpg,,real
E:\Project\Fake News Detection\images\real\26.jpeg,images_normalized\real\26.jpg,,real
E:\Project\Fake News Detection\images\real\2609.jpg,images_normalized\real\2609.jpg,,real
E:\Project\Fake News Detection\images\real\2611.jpg,images_normalized\real\2611.jpg,,real
E:\Project\Fake News Detection\images\real\2618.jpg,images_normalized\real\2618.jpg,,real
E:\Project\Fake News Detection\images\real\2619.jpg,images_normalized\real\2619.jpg,,real
E:\Project\Fake News Detection\images\real\2635.jpg,images_normalized\real\2635.jpg,,real
E:\Project\Fake News Detection\images\real\2639.jpg,images_normalized\real\2639.jpg,,real
E:\Project\Fake News Detection\images\real\264.jpg,images_normalized\real\264.jpg,,real
E:\Project\Fake News Detection\images\real\2641.jpg,images_normalized\real\2641.jpg,,real
E:\Project\Fake News Detection\images\real\2648.jpg,images_normalized\real\2648.jpg,,real
E:\Project\Fake News Detection\images\real\2653.jpg,images_normalized\real\2653.jpg,,real
E:\Project\Fake News Detection\images\real\2654.jpg,images_normalized\real\2654.jpg,,real
E:\Project\Fake News Detection\images\real\2659.jpg,images_normalized\real\2659.jpg,,real
E:\Project\Fake News Detection\images\real\2676.jpg,images_normalized\real\2676.jpg,,real
E:\Project\Fake News Detection\images\real\2678.jpg,images_normalized\real\2678.jpg,,real
E:\Project\Fake News Detection\images\real\2681.jpg,images_normalized\real\2681.jpg,,real
E:\Project\Fake News Detection\images\real\2694.jpg,images_normalized\real\2694.jpg,,real
E:\Project\Fake News Detection\images\real\2700.jpg,images_normalized\real\2700.jpg,,real
E:\Project\Fake News Detection\images\real\2701.jpg,images_normalized\real\2701.jpg,,real
E:\Project\Fake News Detection\images\real\2706.jpg,images_normalized\real\2706.jpg,,real
E:\Project\Fake News Detection\images\real\2714.jpg,images_normalized\real\2714.jpg,,real
E:\Project\Fake News Detection\images\real\2717.jpg,images_normalized\real\2717.jpg,,real
E:\Project\Fake News Detection\images\real\2726.jpg,images_normalized\real\2726.jpg,,real
E:\Project\Fake News Detection\images\real\273.jpg,images_normalized\real\273.jpg,,real
E:\Project\Fake News Detection\images\real\2738.jpg,images_normalized\real\2738.jpg,,real
E:\Project\Fake News Detection\images\real\2742.jpg,images_normalized\real\2742.jpg,,real
E:\Project\Fake News Detection\images\real\2754.jpg,images_normalized\real\2754.jpg,,real
E:\Project\Fake News Detection\images\real\2759.jpg,images_normalized\real\2759.jpg,,real
E:\Project\Fake News Detection\images\real\2760.jpg,images_normalized\real\2760.jpg,,real
E:\Project\Fake News Detection\images\real\2762.jpg,images_normalized\real\2762.jpg,,real
E:\Project\Fake News Detection\images\real\2763.jpg,images_normalized\real\2763.jpg,,real
E:\Project\Fake News Detection\images\real\2776.jpg,images_normalized\real\2776.jpg,,real
E:\Project\Fake News Detection\images\real\2779.jpg,images_normalized\real\2779.jpg,,real
E:\Project\Fake News Detection\images\real\278.jpg,images_normalized\real\278.jpg,,real
E:\Project\Fake News Detection\images\real\2792.jpg,images_normalized\real\2792.jpg,,real
E:\Project\Fake News Detection\images\real\2805.jpg,images_normalized\real\2805.jpg,,real
E:\Project\Fake News Detection\images\real\2808.jpg,images_normalized\real\2808.jpg,,real
E:\Project\Fake News Detection\images\real\2809.jpg,images_normalized\real\2809.jpg,,real
E:\Project\Fake News Detection\images\real\2811.jpg,images_normalized\real\2811.jpg,,real
E:\Project\Fake News Detection\images\real\2823.jpg,images_normalized\real\2823.jpg,,real
E:\Project\Fake News Detection\images\real\283.jpg,images_normalized\real\283.jpg,,real
E:\Project\Fake News Detection\images\real\2831.jpg,images_normalized\real\2831.jpg,,real
E:\Project\Fake News Detection\images\real\2836.jpg,images_normalized\real\2836.jpg,,real
E:\Project\Fake News Detection\images\real\2841.jpg,images_normalized\real\2841.jpg,,real
E:\Project\Fake News Detection\images\real\2852.jpg,images_normalized\real\2852.jpg,,real
E:\Project\Fake News Detection\images\real\2859.jpg,images_normalized\real\2859.jpg,,real
E:\Project\Fake News Detection\images\real\2863.jpg,images_normalized\real\2863.jpg,,real
E:\Project\Fake News Detection\images\real\2864.jpg,images_normalized\real\2864.jpg,,real
E:\Project\Fake News Detection\images\real\2878.jpg,images_normalized\real\2878.jpg,,real
E:\Project\Fake News Detection\images\real\2881.jpg,images_normalized\real\2881.jpg,,real
E:\Project\Fake News Detection\images\real\2891.jpg,images_normalized\real\2891.jpg,,real
E:\Project\Fake News Detection\images\real\2895.jpg,images_normalized\real\2895.jpg,,real
E:\Project\Fake News Detection\images\real\2897.jpg,images_normalized\real\2897.jpg,,real
E:\Project\Fake News Detection\images\real\2898.jpg,images_normalized\real\2898.jpg,,real
E:\Project\Fake News Detection\images\real\2909.jpg,images_normalized\real\2909.jpg,,real
E:\Project\Fake News Detection\images\real\2913.jpg,images_normalized\real\2913.jpg,,real
E:\Project\Fake News Detection\images\real\2920.jpg,images_normalized\real\2920.jpg,,real
E:\Project\Fake News Detection\images\real\2922.jpg,images_normalized\real\2922.jpg,,real
E:\Project\Fake News Detection\images\real\2930.jpg,images_normalized\real\2930.jpg,,real
E:\Project\Fake News Detection\images\real\2938.jpg,images_normalized\real\2938.jpg,,real
E:\Project\Fake News Detection\images\real\2948.jpg,images_normalized\real\2948.jpg,,real
E:\Project\Fake News Detection\images\real\2962.jpg,images_normalized\real\2962.jpg,,real
E:\Project\Fake News Detection\images\real\2963.jpg,images_normalized\real\2963.jpg,,real
E:\Project\Fake News Detection\images\real\2972.jpg,images_normalized\real\2972.jpg,,real
E:\Project\Fake News Detection\images\real\298.jpg,images_normalized\real\298.jpg,,real
E:\Project\Fake News Detection\images\real\2982.jpg,images_normalized\real\2982.jpg,,real
E:\Project\Fake News Detection\images\real\2992.jpg,images_normalized\real\2992.jpg,,real
E:\Project\Fake News Detection\images\real\303.jpeg,images_normalized\real\303.jpg,,real
E:\Project\Fake News Detection\images\real\3030.jpg,images_normalized\real\3030.jpg,,real
E:\Project\Fake News Detection\images\real\3035.jpg,images_normalized\real\3035.jpg,,real
E:\Project\Fake News Detection\images\real\3039.jpg,images_normalized\real\3039.jpg,,real
E:\Project\Fake News Detection\images\real\3065.jpg,images_normalized\real\3065.jpg,,real
E:\Project\Fake News Detection\images\real\3067.jpg,images_normalized\real\3067.jpg,,real
E:\Project\Fake News Detection\images\real\3070.jpg,images_normalized\real\3070.jpg,,real
E:\Project\Fake News Detection\images\real\3074.jpg,images_normalized\real\3074.jpg,,real
E:\Project\Fake News Detection\images\real\3097.jpg,images_normalized\real\3097.jpg,,real
E:\Project\Fake News Detection\images\real\3109.jpg,images_normalized\real\3109.jpg,,real
E:\Project\Fake News Detection\images\real\3111.jpg,images_normalized\real\3111.jpg,,real
E:\Project\Fake News Detection\images\real\3130.jpg,images_normalized\real\3130.jpg,,real
E:\Project\Fake News Detection\images\real\3131.jpg,images_normalized\real\3131.jpg,,real
